NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,AREAS-DO-CONHECIMENTO_Id
"LINGUISTICA_LETRAS_E_ARTES","Artes","Fundamentos e Crítica das Artes","Teoria da Arte",1
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Análise Musical",2
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Análise Musical",10
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Composição Musical",12
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Análise Musical",13
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Composição Musical",15
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Análise Musical",146
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Análise Musical",147
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Análise Musical",170
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",172
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Análise Musical",174
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",180
"LINGUISTICA_LETRAS_E_ARTES","Artes","Teatro","",181
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",198
"LINGUISTICA_LETRAS_E_ARTES","Artes","","",199
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Composição Musical",209
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Composição Musical",244
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",262
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",263
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",264
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",265
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",266
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Composição Musical",269
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",308
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",309
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",311
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Composição Musical",313
"LINGUISTICA_LETRAS_E_ARTES","Artes","Teatro","",315
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Composição Musical",325
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Performance",386
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Análise Musical",391
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Composição Musical",395
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",398
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Composição Musical",402
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Instrumentação Musical",404
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Análise Musical",408
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",409
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Composição Musical",414
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",415
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",416
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Composição Musical",417
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",419
"LINGUISTICA_LETRAS_E_ARTES","Artes","Teatro","",423
"LINGUISTICA_LETRAS_E_ARTES","Artes","Fundamentos e Crítica das Artes","Teoria da Arte",424
"CIENCIAS_HUMANAS","Educação","","",426
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Música e Tecnologia",428
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",429
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Composição Musical",431
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Performance",435
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Composição Musical",443
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Análise Musical",444
"LINGUISTICA_LETRAS_E_ARTES","Artes","sonologia","",446
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",451
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Regência",454
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Performance",456
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Performance",458
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Composição Musical",461
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Análise Musical",462
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Composição Musical",469
"LINGUISTICA_LETRAS_E_ARTES","Artes","sonologia","",470
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Performance",471
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Composição Musical",473
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Educação Musical",477
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Composição Musical",479
"LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Performance",480
