NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id
"Mestrado","ACADEMICO","O Gesto Vocal: comunicação e gestualidade da voz no teatro contemporâneo","2002","Brasil","Português","","","",0
"Mestrado","ACADEMICO","Associações multidimensionais: uma proposta para a criação musical","2002","Brasil","Português","","","",1
"Mestrado","ACADEMICO","Abordagens sobre o tempo na música contemporânea","2000","Brasil","Português","","","",2
"Mestrado","ACADEMICO","Escutando Paisagens sonoras: uma escuta nômade","2000","Brasil","Português","","","",3
"Mestrado","ACADEMICO","Escrita Sismográfica - Interação entre Compositor e Suporte Digital","2000","Brasil","Português","","","",4
"Mestrado","ACADEMICO","A fase dodecafônica de Guerra Peixe à luz das impressões do compositor","2002","Brasil","Português","","","",5
"Mestrado","ACADEMICO","Sinfonia: Uma experiência em Composição Multidimensional","2002","Brasil","Português","","","",6
"Mestrado","ACADEMICO","O piano expandido no século XX nas obras para piano preparado de John Cage","2004","Brasil","Português","","","",7
"Mestrado","ACADEMICO","A dança no reino do improvável: as interferências do acaso no processo de criação coreográfica.","2004","Brasil","Português","","","",8
"Mestrado","ACADEMICO","A toccata e a Sonata de Camargo Guarnieri: uma abordagem técnica para performance","2004","Brasil","Português","","","",9
"Mestrado","ACADEMICO","Aspectos de coerência motívica e estrutural no Noneto de Heitor Villa-Lobos","2004","Brasil","Português","","","",10
"Mestrado","ACADEMICO","Uma nova poética musical e a ordenação tempo x espaço na ação teatral","2004","Brasil","Português","","","",11
"Mestrado","ACADEMICO","Interação Tímbrica na Música Eletroacústica Mista","2005","Brasil","Português","","","",12
"Mestrado","ACADEMICO","Processos de Comunicação entre música e ambiente: Kurt Weil e os anos 20 na Alemanha","2002","Brasil","Português","","","",13
"Mestrado","ACADEMICO","Soundesign","2003","Brasil","Português","","","",14
"Mestrado","ACADEMICO","Aspectos de textura na música de Heitor Villa-Lobos","2003","Brasil","Português","","","",15
"Mestrado","ACADEMICO","Questões da representação na música eletroacústica","2005","Brasil","Português","","","",16
"Mestrado","ACADEMICO","Ampliando o Repertório do Coro Infanto-Juvenil - um estudo de repertório inserido numa nova estética","2006","Brasil","Português","","","",17
"Mestrado","ACADEMICO","Abordagens criativas: possibilidades no Ensino/Aprendizagem da Música Contemporânea","2008","Brasil","Português","","","",18
"Mestrado","ACADEMICO","Elementos musicais a serem abordados na formação profissional em educação física","2002","Brasil","Português","","","",19
"Mestrado","ACADEMICO","Em busca do som: a música de K. Stockhausen nos anos 1950","2008","Brasil","Português","","","",20
"Mestrado","ACADEMICO","Composição com algoritmos: o processo e o contato composicional na criação musical contemporânea","2009","Brasil","Português","","","",21
"Mestrado","ACADEMICO","A performance enquanto elemento composicional na música eletroacústica interativa","2009","Brasil","Português","","","",22
"Mestrado","ACADEMICO","Composição pelo Som: trabalho composicional e analítico de repertório instrumental por métodos de análise da música eletroacústica","2008","Brasil","Português","","","",23
"Mestrado","ACADEMICO","Da nota ao Som: explorando territorios harmonicos","2009","Brasil","Português","","","",24
"Mestrado","ACADEMICO","A peça Concatenação nº162 do Ludus Brasiliensis de Ernst Widmer","2009","Brasil","Português","","","",25
"Mestrado","ACADEMICO","Música eletroacústica no Estado de São Paulo: segunda geração (1981 - 2009)","2010","Brasil","Português","","","",26
"Mestrado","ACADEMICO","Sintese Granular em Tempo Real no Espaço Gabor Estendido","2010","Brasil","Português","","","",27
"Mestrado","ACADEMICO","A Musica De Morton Feldman Sob A Ótica De Sua Compreensão Da Pintura Do Expressionisto Abstrato","2008","Brasil","Português","","","",28
"Mestrado","ACADEMICO","Percussão Múltipla Mediada Por Processos Tecnológicos","2008","Brasil","Português","","","",29
"Mestrado","ACADEMICO","Conexão e fusão entre voz e instrumento em obras de Luciano Berio e Gyogy Ligeti","2014","Brasil","Português","","","",30
"Mestrado","ACADEMICO","Metáfora e composição musical: aspectos semióticos do processo criativo","2013","Brasil","Português","http://www.bibliotecadigital.unicamp.br/document/?code=000918263&opt=4","","",31
"Mestrado","ACADEMICO","Métodos estocásticos com distribuições generalizadas para a composição musical","2009","Brasil","Português","","","",32
"Mestrado","ACADEMICO","Uma Técnica Pianística e seu Método de Ensino","2006","Brasil","Português","","","",33
"Mestrado","ACADEMICO","Processos de estruturação na escuta de música eletroacústica","2005","Brasil","Português","","","",34
"Mestrado","ACADEMICO","Aspectos sincrônicos e diacrônicos da música eletroacústica","2014","Brasil","Português","","","",35
"Mestrado","ACADEMICO","A Transmutação na escrita instrumental e vocal","2014","Brasil","Português","","","",36
"Mestrado","ACADEMICO","Expressão e Intertextualidade na obra " Arcos Sonoros da catedral Anton Bruckner" de Almeida Prado","2014","Brasil","Português","","","",37
"Mestrado","ACADEMICO","Uma nova retórica para a música contemporânea","2014","Brasil","Português","","","",38
"Mestrado","ACADEMICO","Do micro ao macro: aproximações entre oriente e ocidente em Der Jahreslauf","2015","Brasil","Português","","","",39
"Mestrado","ACADEMICO","A espectromorfologia na análise da composição do desenho de som cinematográfico: um estudo de caso","2015","Brasil","Português","","","",40
"Mestrado","ACADEMICO","A percepção musical no processo criativo do Grupo Obra Aberta","2015","Brasil","Português","","","",41
"Mestrado","ACADEMICO","Eros e Thanatos - A despedida Musical de Arno Roberto von Buettner","2015","Brasil","Português","","","",42
"Mestrado","ACADEMICO","Estéticas Cruzadas: rupturas e deslocamentos em Claudio Santoro, Guerra-Peixe e Eunice Katunda","2017","Brasil","Português","","","",43
"Mestrado","ACADEMICO","Estruturação Audiovisual através de qualidades morfológicas","2009","Brasil","Português","","","",44
