PARTICIPACAO-EM-ENCONTRO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"563",0
1,"568",0
2,"556",0
3,"689",0
4,"268",0
5,"543",0
6,"535",0
7,"529",0
8,"519",0
9,"687",0
10,"694",0
11,"690",0
12,"691",0
13,"533",0
14,"573",0
15,"685",0
16,"521",0
17,"575",0
18,"688",0
19,"463",0
20,"456",0
21,"693",0
22,"678",0
23,"566",0
24,"542",0
25,"869",0
26,"684",0
27,"524",0
28,"677",0
29,"683",0
30,"555",0
31,"578",0
32,"520",0
33,"210",0
34,"576",0
