NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Outra","Festival Internacional De Teatro De Campinas","1990","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",0
"Outra","I Encontro Nacional de Compositores Universitários","2003","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",1
"Outra","Mesa Redonda: Perspectivas Para A Música Na Contemporâneidade","2004","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",2
"Outra","","1979","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",3
"Outra","","2000","Alemanha","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",4
"Outra","Reuniao do CLM - Centro de Linguagens Musicais-PUC-SP","1998","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",5
"Outra","Sound Models, Metaphor and Mimesis in the Composition of Eletroacoustic Music","2000","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",6
"Outra","Composição","1992","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",7
"Outra","A Casa do Poeta - Princípios da Áudio Arte","1993","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",8
"Outra","Carreira na Música Eletroacústica","2008","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",9
"Outra","Projeto CBO 2000 - Classificação Brasileira De Ocupações","2001","Brasil","","NAO_INFORMADO","","NAO","Simposista","Convidado","","","NAO",10
"Outra","Projeto Música e Mídia","2007","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",11
"Outra","O Processo de Composição em "Dos Salmos"","2002","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",12
"Outra","","1999","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",13
"Outra","Eletroacoustic Music Society Conference","2011","Estados Unidos","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",14
"Outra","Forum Permanente de Arte & Cultura - Arte e Tecnologia","2003","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",15
"Outra","O Espaço entre Cena e Música","1992","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",16
"Outra","Non interpretative corporal techniques for a traditional acting/ performer - Duo for a mime and a piano","1989","Grécia","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",17
