NOME-DO-EVENTO,INSTITUICAO-PROMOTORA,LOCAL-DA-APRESENTACAO,CIDADE-DA-APRESENTACAO,NOME-DO-EVENTO-INGLES,APRESENTACAO-DE-TRABALHO_Id
"X Encontro de Música Contemporânea","Instituto de Artes da UNESP","Instituto de Artes/UNESP","São Paulo","",0
"II Encontro Nacional de Compositores Universitários","Universidade Estadual de Londrina","Departamento de Música","Londrina","",1
"Programa de Pós-Graduação em Música: Seminário Interno de avaliação e reformulação da área de concentração e linhas de pesquisa do Programa","Programa de Pós Graduação em Música - Instituto de Artes/UNICAMP","Hotel Fazenda Solar da Andorinhas","Campinas","",2
"V Seminário de Pós-Graduação em Música: Avaliação e Planejamento","UNESP","Instituto de Física","São Paulo","",3
"III Encontro Internacional de Mulheres Compositoras","Prefeitura de Poços de Caldas","Espaço Cultural da Urca, Palace Cassino","Poços de Caldas","",4
"IV Seminário de Pós-Graduação em Música: avaliação e planejamento","Programa de Pós-Graduação em Música da Universidade Federal do Rio Grande do Sul","Instituto de Artes","Porto Alegra","",5
"Forum Permanente de Arte&Cultura: Produção Cultural","","Biblioteca Central/UNICAMP","Campinas","",6
"XIV Congresso da ANPPOM","Universidade Federal do Rio Grande do Sul","Instituto de Artes","Porto Alegre","",7
"IX SBCM Brazilian Symposium on Computer Music","Universidade Estadual de Campinas","Instituto de Artes","Campinas","",8
"V Forum do Centro de Linguagem Musical","Escola de Comunicações e Artes/USP Programa de Pós-Graduação em Comunicação e Semiótica PUCSP","Departamento de Música da ECA/USP","São Paulo","",9
"III Seminário Pós-Graduação em Música: Avaliação e Planejamento","Programa de Pós-Graduação em Música da UNIRIO","UNIRIO","Rio de Janeiro","",10
"II Seminário de Pós-Graduação em Música: Avaliação e Planejamento","CAPES; ANPPOM; UNICAMP","CPG/IA - UNICAMP","Campinas","",11
"XIII Encontro Nacional da ANPPOM","Associação Nacional de Pesquisa e Pós-Graduação em Música","Universidade Federal de Minas Gerais","Belo Horizonte","",12
"ICMC 2000 - International Computer Music Conference","","Berlim","Berlim","",13
"VII Simpósio Brasileiro de Computação e Música","NUCOM","Curitiba","Curitiba","",14
"V Encontro Nacional dos Estudantes de Artes - ENEARTE","Centro Acadêmico do Instituto de Artes/U","Auditório do Instituto de Artes/UNICAMP","Auditório do Instituto de Artes/UNICAMP","",15
"VIII Encontro Anual da Associação Brasileira de Educação Musical","Associação Brasileira de Educação Musical","Canal da Música","Curitiba","",16
"XI Encontro Nacional da ANPPOM","Universidade Estadual de Campinas","Auditório do I.A./Centro de Convivência","Auditório do I.A./Centro de Convivência","",17
"XV Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música","Escola de Música da Universidade Federal do Rio de Janeiro","UFRJ","Rio de Janeiro","",18
"X Simpósio Brasileiro de Computação Musical","PUC de Minas Gerais e Escola de Música da UFMG","PUC de Minas / campus São Gabriel","Belo Horizonte","",19
"","Fundação Casa Rui Barbosa","Fundação Casa Rui Barbosa","Rio de Janeiro","",20
"XVII Congresso da ANPPOM","Instituto de Artes da UNESP","I.A. - UNESP","São Paulo","",21
"11º Simpósio Brasileiro de Computação Musical","Sociedade Brasileira de Computação","Instituto de Matemática e Estatística da USP","São Paulo","",22
