NATUREZA,TITULO,ANO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"publicação de obras musicais em CD","Denise Garcia: A Casa do Poeta - Música eletroacústica 1993-2001 - CD solo","2003","Brasil","Português","MEIO_DIGITAL","","SIM","","","","NAO",0
"Obra musical publicada no CD Faszination Psalmen","Dos Salmos - publicação musical em Cd","2003","Alemanha","Alemão","MEIO_DIGITAL","","NAO","","","","NAO",1
"obra musical gravad em Cd","Par Lui - publicação musical em Cd","1997","Brasil","Português","MEIO_MAGNETICO","","NAO","","","","NAO",2
"publicação de obras musicais em CD","Música Eletroacústica Brasileira - publicação musical em Cd","1995","Brasil","Português","MEIO_DIGITAL","","NAO","","","","NAO",3
"publicação de obras musicais em CD","Kelbilim o cão da Divindade - publicação de obras musicais em CD","2005","Brasil","Português","MEIO_DIGITAL","","NAO","","","","NAO",4
"obra musical gravad em Cd","Coletânea de Música Eletroacústica Brasileira/ obra publicada: 'Sopro II'","2008","Brasil","Português","MEIO_DIGITAL","","NAO","","","","NAO",5
"Resenhas para concertos","Série Continental 2001","1988","Brasil","Português","IMPRESSO","","NAO","","","","NAO",6
"Resenhas para concertos","Série Continental 2001","1989","Brasil","Português","IMPRESSO","","NAO","","","","NAO",7
"obra musical gravada em Cd","Vozes da Cidade - publicação musical em Cd","1996","Brasil","Português","MEIO_DIGITAL","","NAO","","","","NAO",8
