EDITORA,CIDADE-DA-EDITORA,NUMERO-DE-PAGINAS,ISSN-ISBN,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"a publicação teve apoio FAPESP e FAEP/UNICAMP","São Paulo/Campinas","1","",0
"Byerischen Rundfunk e Studio Franken","","1","",1
"EDUC - Editora da PUC-SP","São Paulo","1","",2
"Rioarte -","Rio de Janeiro","","RD003MEB",3
"LUME-Teatro","Campinas","","",4
"Sociedade Brasileira de Música Eletroacústica","Brasiília","","CDSBME008",5
"","","","",6
"","","","",7
"Sociedade Brasileira de Música Eletroacústica","Brasília","1","",8
