EMISSORA,TEMA,DATA-DA-APRESENTACAO,DURACAO-EM-MINUTOS,CIDADE,PROGRAMA-DE-RADIO-OU-TV_Id
"Radio MEC FM","o tema dos tres programas foi a obra eletroacústica da autora - divulgação de seu Cd","02082012","30","",0
"Rádio MEC FM 98,9MHz","apresentação do trabalho composicional da autora e seu Cd "A Casa do Poeta"","09082012","30","",1
"Rádio MEC FM 98,9MHz","o tema dos tres programas foi a obra eletroacústica da autora - divulgação de seu Cd "A Casa do Poeta"","16082012","30","",2
"Radio Cultura FM 103.3","Música","01092011","60","",3
"Radio Cultura FM 103.3","Música","08092011","60","",4
"Radio Cultura FM 103.3","Música","15092011","60","",5
"Radio Cultura FM 103.3","Música","22092011","60","",6
"Radio Cultura FM 103.3","Música","13102011","60","",7
"Radio Cultura FM 103.3","Música","06102011","60","",8
"Radio Cultura FM 103.3","Música","20102011","60","",9
"Radio Cultura FM 103.3","Música","27102011","60","",10
"Radio Cultura FM 103.3","Música","03112011","60","",11
"Radio Cultura FM 103.3","Música","10112011","60","",12
"Radio Cultura FM 103.3","Música","10112011","60","",13
"Radio Cultura FM 103.3","Música","17112011","60","",14
"Radio Cultura FM 103.3 - São Paulo","Música","24112011","60","",15
"rádio","A obra da compositora Denise Garcia","19112007","60","",16
"Internet e Rádio","Música Eletrônica, por Denise Garcia - Risco no disco","14112012","60","",17
"rádio","Obras eletroacústicas da compositora Denise Garcia","20062003","60","",18
"Impresso","O Feminino na Música - Festival Internacional de Mulheres Compositoras","24111995","60","",19
"III Simpósio Internacional de Musicologia da UFRJ","Instituições, Preservação e Socialização do Conhecimento Patrimonial","15082012","30","",20
"II Encontro Internacional de Teoria e Análise Musical","Análise Musical, emoção e significado no século XXI","03092011","120","",21
"I Encontro Internacional de Teoria e Análise Musical","Emoção e Significação na música eletroacústica","21082009","","",22
"I SIMPOM","Partitura de Escuta: Confluência entre sonologia e análise musical","09112010","60","",23
"I Encontro de Música Eletroacústica","As correntes técnico-estéticas na Música Eletroacústica","14091994","60","",24
"DeutschlandRadio","Apresentação da obra eletroacústica da compositora Denise Garcia juntamente com entrevista e comentários","","60","Berlim",25
"Radio Cultura FM 103.3","Música","29092011","60","",26
