PARTICIPACAO-EM-SIMPOSIO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"538",0
1,"457",0
2,"209",0
3,"531",0
