NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id
"Composição Musical","Encontro","2007","Brasil","Português","VARIOS","","NAO","","","","NAO",0
"Composição Musical","Mazurka para Clarinete solo","1976","Brasil","Português","IMPRESSO","","NAO","","","","NAO",1
"Composição Musical","Dois Pequenos Prelúdios para Piano","1977","Brasil","Português","IMPRESSO","","NAO","","","","NAO",2
"Composição Musical","Colidouescapo (para voz e flauta)","1978","Brasil","Português","IMPRESSO","","NAO","","","","NAO",3
"Composição Musical","Choro para Dois Cellos","1981","Brasil","Português","IMPRESSO","","NAO","","","","NAO",4
"Composição Musical","Lua Só (para coro feminino)","1983","Brasil","Português","IMPRESSO","","NAO","","","","NAO",5
"Composição Musical","Si (para coro misto)","2013","Brasil","Português","IMPRESSO","","NAO","","","","NAO",6
"Composição Musical","Terceira Peça para Coro (coro misto e narradores)","1982","Brasil","Português","IMPRESSO","","NAO","","","","NAO",7
