CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"711",0
1,"712",0
2,"713",0
3,"714",0
4,"715",0
5,"70",0
