INSTITUICAO-PROMOTORA,DURACAO-EM-SEMANAS,FLAG-EVENTO-ITINERANTE,FLAG-CATALOGO,LOCAL,CIDADE,ORGANIZACAO-DE-EVENTO_Id
"Programa de Pós Graduação em Música - Instituto de Artes/UNICAMP","1","N","N","Hotel Fazenda Solar da Andorinhas","Campinas",0
"UNESP","1","N","N","Instituto de Física","São Paulo",1
"Faculdade Santa Marcelina / Universidade Estadual de Campinas","1","N","","Departamento de Música I.A;","Campinas e São paulo",2
"Faculdade Santa Marcelina
Universidade Estadual de Campinas","1","N","N","Departamento de Música I.A;","Campinas e São paulo",3
"CDMC-Brasil/UNICAMP, Adunicamp, Prefeitura Municipal de Campinas, Consulado Geral do México em São Paulo","1","N","N","Auditório da Biblioteca do Inst. Artes","Campinas",4
"CDMC-Brasil/UNICAMP, Adunicamp, Prefeitura Municipal de Campinas, Consulado Geral do México em São Paulo","1","N","N","Museu de Arte Contemporânea de Campinas","Campinas",5
"Musiques & Recherches","1","N","S","Theatre Marni","Bruxelas",6
"UNICAMP","","N","N","Campinas","Campinas",7
"SESC SP - Santos","0","N","","Rua Conselheiro Ribas 136","Santos",8
"Centro de Integração Documentação e Divulgação Cultural e SESC-Campinas","8","N","","Universidade Estadual de Campinas e SESC-Campinas","Campinas",9
"Universidade Estadual de Campinas","","N","","UNICAMP","Campinas - SP",10
"","1","N","","","Lima, Peru",11
"UNICAMP","34","N","","UNICAMP","Campinas - SP",12
"Universidade Estadual de Campinas","1","N","","UNICAMP","Campinas - SP",13
"Universidade Estadual de Campinas","1","N","","Auditório da Biblioteca do I.A./UNICAMP","Campinas - SP",14
"Universidade Estadual de Campinas","1","N","","UNICAMP","Campinas - SP",15
"Instituto de Artes UNICAMP","1","N","","Sala 34 do Depto. de Música Unicamp","Campinas - SP",16
"Instituto de Artes UNICAMP","1","N","","Centro de Convivência Cultural Carlos Gomes","Campinas - SP",17
"Instituto de Artes UNICAMP","","N","","Instituto de Artes- UNICAMP","Campinas - SP",18
"Associação Nacional de Pesquisa e Pós-Graduação em Música","1","N","","Instituto de Artes da UNESP","São Paulo - SP",19
"UNIversidade Estadual de Campinas","1","N","","Centro de Convenções da UNICAMP","Campinas - SP",20
