CODIGO-INSTITUICAO,SIGLA-INSTITUICAO,SIGLA-UF-INSTITUICAO,SIGLA-PAIS-INSTITUICAO,NOME-PAIS-INSTITUICAO,FLAG-AGENCIA-FOMENTO,FLAG-INSTITUICAO-DE-ENSINO,INFORMACOES-ADICIONAIS-INSTITUICOES_Id
"000100000991","CEM","MG","BRA","Brasil","NAO","NAO",0
"002200000000","CNPq","DF","BRA","Brasil","SIM","SIM",0
"006700000002","USP","SP","BRA","Brasil","NAO","SIM",0
"007100000000","PUC/SP","SP","BRA","Brasil","NAO","SIM",0
"007900000004","UNICAMP","SP","BRA","Brasil","NAO","SIM",0
"007901000997","","SP","BRA","Brasil","NAO","NAO",0
"007902000990","","SP","BRA","Brasil","NAO","NAO",0
"020200000009","UFRJ","RJ","BRA","Brasil","NAO","SIM",0
"020201000991","","RJ","BRA","Brasil","NAO","NAO",0
"037700000002","FAPESP","SP","BRA","Brasil","SIM","NAO",0
"324800000001","H.M.","","RFA","Alemanha","NAO","NAO",0
"828300000007","","","RFA","Alemanha","NAO","NAO",0
