NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SIMPOSIO_Id
"10º Simpósio Brasileiro de Computação Musical","","","","Minas Gerais","",0
"I Simpósio Brasileiro de Pós-Graduandos em Música","","","","Rio de Janeiro","",1
"I Simposio Brasileiro MusArtS","","","","São Paulo","",2
"11º Simpósio Brasileiro de Computação Musical, da Sociedade Brasileira de Computação","","","","São Paulo","",3
