TITULO-DO-LIVRO,NUMERO-DE-VOLUMES,PAGINA-INICIAL,PAGINA-FINAL,ISBN,ORGANIZADORES,NUMERO-DA-EDICAO-REVISAO,NUMERO-DA-SERIE,CIDADE-DA-EDITORA,NOME-DA-EDITORA,CAPITULO-DE-LIVRO-PUBLICADO_Id
"Notas Atos Gestos","01","53","76","9788575773895","Silvio Ferraz","01","","Rio de Janeiro","7Letras",0
"Patrimônio Musical na Atualidade: Tradição, Memória, Discurso e Poder. (Série Simpósio Internacional de Musicologia da UFRJ, vol.3)","3","195","200","9788565537049","Maria Alice Volpe","1","1","Rio de Janeiro","UFRJ, Escola de Música, PPGM",1
