TRABALHO-TECNICO_Id,SEQUENCIA-PRODUCAO,PRODUCAO-TECNICA_Id
0,"45",0
1,"46",0
2,"47",0
3,"48",0
4,"49",0
5,"50",0
6,"279",0
7,"462",0
8,"473",0
9,"474",0
10,"634",0
11,"776",0
12,"805",0
13,"806",0
14,"833",0
15,"622",0
