NATUREZA,TITULO-DO-TRABALHO-TECNICO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TRABALHO-TECNICO-INGLES,TRABALHO-TECNICO_Id
"RELATORIO_TECNICO","Relatório do Programa de Pós-Graduação em Música para a Avaliação Institucional UNICAMP 1999-2003","2004","Brasil","","IMPRESSO","","NAO","","",0
"ELABORACAO_DE_PROJETO","Faces da música eletroacústica: o Grupo Música Nova e seu pioneirismo na utilização de recursos eletroacústico","2004","Brasil","","IMPRESSO","","NAO","","",1
"PARECER","Avaliação das atividades do Núcleo Interdisciplinar de Comunicação Sonora - NICS/ UNICAMP 2000/2002","2004","Brasil","","MEIO_DIGITAL","","NAO","","",2
"RELATORIO_TECNICO","DataCAPES 2003 - relatório do Programa de Pós-Graduação em Música do Instituto de Artes da UNICAMP","2004","Brasil","","NAO_INFORMADO","","NAO","","",3
"RELATORIO_TECNICO","DataCAPES 2002 - Programa de Pós-Graduação em Música/Instituto de Artes/UNICAMP","2003","Brasil","","IMPRESSO","","NAO","","",4
"RELATORIO_TECNICO","DataCAPES 2001 - Relatório do Programa de Pós-Graduação em Música - Instituto de Artes/UNICAMP","2002","Brasil","","IMPRESSO","","NAO","","",5
"ASSESSORIA","Análise do Pocesso 05.1.7621.1.5 - Escola de Comunicação e Artes: criação do Programa de Pós-Graduação em Música","2005","Brasil","Português","NAO_INFORMADO","","NAO","","",6
"PARECER","Atuação como parecerista nas sub-áreas Sonologia, Música e Interfaces e Teoria e Análise do Comitê Científico do XX Congresso da ANPPOM","2010","Brasil","Português","NAO_INFORMADO","","NAO","","",7
"PARECER","Atuação como parecerista no II Encontro Internacional de Teoria e Análise Musical","2011","Brasil","Português","NAO_INFORMADO","","NAO","","",8
"PARECER","Atuação como parecerista nas avaliações das comunicações de Pesquisa - ANPPOM","2011","Brasil","Português","NAO_INFORMADO","","NAO","","",9
"CONSULTORIA","Câmara setorial de Música - conselho estadual de cultura - Governo do Estado de São Paulo","2009","Brasil","Português","IMPRESSO","","NAO","","",10
"ASSESSORIA","Tabulae Scriptae: a metalinguagem e as trajetórias de Henri Pousser e Willy Correa de Oliveira","2013","Brasil","Português","IMPRESSO","","NAO","","",11
"ASSESSORIA","Processo seletivo PIBIC/CNPq e Bolsa Pesquisa SAE","2006","Brasil","Português","VARIOS","","NAO","","",12
"ASSESSORIA","Assessora 'ad hoc' no processo de avaliação do Núcleo Interdisciplinar de Comunicação Sonora - NICS","2002","Brasil","Português","NAO_INFORMADO","","NAO","","",13
"PARECER","Atuação como pareceria na seleção de artigos submetidos ao Encontro Nacional de Composição musical de Londrina","2014","Brasil","Português","NAO_INFORMADO","","NAO","","",14
"PARECER","Avaliação de Trabalho para publicação pela Editora da UNESP","2013","Brasil","Português","OUTRO","","NAO","","",15
