NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-CONGRESSO_Id
"XV Congresso da Associação Nacional de Pesquisa e Pós Graduação em música - ANPPOM","","","","Rio de Janeiro","",0
"Women in Group Theatre II","","","","Dusseldorf","",1
"XVI Congresso da Associação Nacional de Pesquisa e Pós Graduação em música - ANPPOM","","","","Brasília - DF","",2
"Invenção: Thinking The Next Millenium","","","","São Paulo - SP","",3
"XIX Congresso da Associação Nacional de Pesquisa e Pós Graduação em música - ANPPOM","","","","Curitiba, Paraná","",4
"ICMC 2000 - International Computer Music Conference","","","","Berlim","",5
"XIV Congresso da Associação Nacional de Pesquisa e Pós Graduação em música - ANPPOM","","","","Porto Alegre","",6
"I Kolloquium Über Inszenierungspraktiken, Stückentwicklung Und Regiearbeit Des Gruppentheaters","","","","Alemanha","",7
"XVIII Congresso da Associação Nacional de Pesquisa e Pós Graduação em música - ANPPOM","","","","Salvador - BA","",8
"XXIII Congresso da Sociedade Brasileira de Comutação","","","","Campinas","",9
"III Congresso Internacional Latino-Americano de Semiótica PUC - SPPU","","","","São Paulo - SP","",10
"XV Congresso Interno de Iniciação Científica","","","","Campinas","",11
"XV Congresso da Associação Nacional de Pesquisa e Pós Graduação em música - ANPPOM","","","","Rio de Janeiro","",12
"XIX Congresso da Associação Nacional de Pesquisa e Pós Graduação em música - ANPPOM","","","","Curitiba, Paraná","",13
"Women in Group Theatre I","","","","Dusseldorf","",14
