OUTRA-PRODUCAO-TECNICA_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"82",0
1,"83",0
2,"717",0
3,"545",0
