NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"Exame de qualificação de doutorado","O Planejamento Composicional Parametrizado: uma abordagem conceitual e prática","2003","Brasil","Português","","","",0
"Exame de qualificação de doutorado","Abstrações: Música para Kandinsky","2004","Brasil","Português","","","",1
"Exame de qualificação de doutorado","Indeterminação na Música Brasileira para Piano","2004","Brasil","Português","","","",2
"Exame de qualificação de doutorado","A criação de novos espaços de escuta a partir dos sons da rua: uma possibilidade para a invenção de idéias de música","2004","Brasil","Português","","","",3
"Exame de qualificação de doutorado","Prelúdios para Piano de Frederic Chopin e Almeida Prado - Abordagens dos Aspectos Técnicos-Pianísticos como Fundamento para uma Interpretação","2005","Brasil","Português","","","",4
"Exame de qualificação de doutorado","Ritmo com acento: uma proposta de aplicação da polirritmia desenvolvida por José Eduardo Gramani combinada com a prática de composição modal que se desenvolveu no jazz","2005","Brasil","Português","","","",5
"Exame de qualificação de doutorado","Continuum Espectral: transformação na interpretação pianística","2005","Brasil","Português","","","",6
"Exame de qualificação de mestrado","Edmundo Villani Côrtes: Uma abordagem pianística da sonata num. 2 "A Lenda dos Alatás"","2005","Brasil","Português","","","",7
"Exame de qualificação de doutorado","Modelos Composicionais","2006","Brasil","Português","","","",8
"Exame de qualificação de doutorado","Restauração da partitura orquestral da ópera Condor de Carlos Gomes","2006","Brasil","Português","","","",9
"Exame de qualificação de doutorado","Por uma música informal: uma outra visão sobre a música erudita no século XX","2006","Brasil","Português","","","",10
"Exame de qualificação de doutorado","Café: Ópera-Coral de Mário de Andrade","2006","Brasil","Português","","","",11
"Exame de qualificação de doutorado","Novas Interfaces para Percussão e Interação Multimodal","2008","Brasil","Português","","","",12
"Exame de qualificação de doutorado","Sistêmica e Musicologia: Algumas Considerações","2004","Brasil","Português","","","",13
"Exame de qualificação de doutorado","Um Resgate do patrimônio musical campineiro: transcrições musicológicas de obras de Manoel José Gomes, o mestre-de-capela de Campinas","2005","Brasil","Português","","","",14
"Exame de qualificação de doutorado","O Espaço da Indeterminação na Obra Musical","2007","Brasil","Português","","","",15
"Exame de qualificação de doutorado","Música e tecnologia digital: uma conexão emanente","2008","Brasil","Português","","","",16
"Exame de qualificação de doutorado","MUSICOGRAFIA BRAILLE: proposta educacional e constituição de acervo","2008","Brasil","Português","","","",17
"Exame de qualificação de doutorado","Transformações na criação sonora","2007","Brasil","Português","","","",18
"Exame de qualificação de mestrado","Métodos Estocásticos com Distribuições Generalizadas para Composição Musical","2005","Brasil","Português","","","",19
"Exame de qualificação de doutorado","A arte impopular de Gilberto Mendes; Música e performance na contemporaneidade","2010","Brasil","Português","","","",20
"Exame de qualificação de doutorado","Música e performatividade:ato","2010","Brasil","Português","","","",21
"Exame de qualificação de doutorado","Design sonoro aplicado a instalações multimídia","2012","Brasil","Português","","","",22
"Exame de qualificação de doutorado","Escrever o som sem desfazer o tempo: visualidade e composição de sonoridades","2012","Brasil","Português","","","",23
"Exame de qualificação de mestrado",""A música com luz e sombra" com referência em analises do compositor Luiz Carlos Csekö","2010","Brasil","Português","","","",24
"Exame de qualificação de mestrado","Palimpsestos: re-escrituras na música contemporânea","2010","Brasil","Português","","","",25
"Exame de qualificação de mestrado","A plasticidade do sonoro","2009","Brasil","Português","","","",26
"Exame de qualificação de mestrado","Processos Evolutivos em Síntese Granular no Espaço de Gabor Estendido","2009","Brasil","Português","","","",27
"Exame de qualificação de mestrado","Música Eletroacustica na Universidade: O Estado de São Paulo","2009","Brasil","Português","","","",28
"Exame de qualificação de mestrado","Musica Espectral: A Relação Som-Tempo Como Geradora Do Processo","2009","Brasil","Português","","","",29
"Exame de qualificação de mestrado","Composição Audiovisual Através De Qualidades Morfológicas","2008","Brasil","Português","","","",30
"Exame de qualificação de mestrado","Mudanças Nas Práticas Interpretativas Do Século XX: Autenticidade Na Execução Instrumental","2008","Brasil","Português","","","",31
"Exame de qualificação de mestrado","O Ludus Brasiliensis De Ernst Widmer: Uma Proposta De Análise","2008","Brasil","Português","","","",32
"Exame de qualificação de mestrado","Compor Algoritimos, Programar Instrumentos, Esculpir O Som: A Criação Musical Com Novos Recursos Tecnológicos","2008","Brasil","Português","","","",33
"Exame de qualificação de doutorado","Espaço Instrumento: Instalação Muitisensorial De Performance Interativa Em Tempo Real","2008","Brasil","Português","","","",34
"Exame de qualificação de mestrado","A Música de Morton Feldman Sob a Ótica da Sua Compreensão da Pintura do Expressionismo Abstrato","2007","Brasil","Português","","","",35
"Exame de qualificação de mestrado","Possibilidades de Escuta na Música Do Século XX - Pensamento Estética e Poética na Obra de Roberto Victório","2007","Brasil","Português","","","",36
"Exame de qualificação de mestrado","Edgard Varese: Um Processo Singular de Verticalização","2007","Brasil","Português","","","",37
"Exame de qualificação de doutorado","Composição Pelo Som: Trabalho Analítico Composicional de Música Instrumental Com Ferramentas Teóricas da Música Eletroacústica","2007","Brasil","Português","","","",38
"Exame de qualificação de mestrado","Análise da Sonoridade dos Instrumentos de Percussão Múltipla Mediada por Processos Tecnológicos","2007","Brasil","Português","","","",39
"Exame de qualificação de mestrado","A Música Dos Compositores Brasileiros Para Trompa E Piano","2005","Brasil","Português","","","",40
"Exame de qualificação de mestrado","Processo De Estruturação Na Escuta De Música Eletroacústica","2005","Brasil","Português","","","",41
"Exame de qualificação de doutorado","A Linguagem organística de Olivier Messiaen","2013","Brasil","Português","","","",42
"Exame de qualificação de mestrado","Arcos Sonoros da Catedral Anton Bruckner de Almeida Prado: Investigando os processos composicionais","2013","Brasil","Português","","","",43
"Exame de qualificação de mestrado","Heitor Villa-Lobos: Questões e soluções oara superar as dificuldades técnicas da Bachianas Brasileiras nº 2 e o fundo histórico de sua série","2013","Brasil","Português","","","",44
"Exame de qualificação de mestrado","Metáfora e composição musical: aspectos da construção simbólica no processo criativo","2012","Brasil","Português","","","",45
"Exame de qualificação de mestrado","Luciano Berio - Conexão e fusão entre vozes e instrumentos am Agnus e o King","2013","Brasil","Português","","","",46
"Exame de qualificação de doutorado","Violão Expandido: uma abordagem em Edino Krieger, Chico Mello e Arthur Kampela","2011","Brasil","Português","","","",47
"Exame de qualificação de mestrado","A relação entre as renovações técnicas e os processos composicionais nas obras para piano de Luciano Berio","2013","Brasil","Português","","","",48
"Exame de qualificação de doutorado","Espaços Multidimensionais e Composição Assistida como suporte à Escritura Textural","2013","Brasil","Português","","","",49
"Exame de qualificação de mestrado","Sistemas de improvisação assistida por computador contextualizados à criação musical.","2011","Brasil","Português","","","",50
"Exame de qualificação de mestrado","A utilização da técnica instrumental estendida para a recriação timbrística na Música Espectral","2011","Brasil","Português","","","",51
"Exame de qualificação de mestrado","Morphing: Transmutação na música de escritura","2013","Brasil","Português","","","",52
"Exame de qualificação de mestrado","Klangenfarbenmelodie: orquestração do timbre","2013","Brasil","Português","","","",53
"Exame de qualificação de mestrado","Por uma desterritorialização do gesto: A poética musical de Luciano Berio e Brian Ferneyhough","2010","Brasil","Português","","","",54
"Exame de qualificação de mestrado","Caminhos de uma composição: elementos stravinskianos no Rudepoema","2010","Brasil","Português","","","",55
"Exame de qualificação de mestrado","Transposições Metafóricas","2010","Brasil","Português","","","",56
"Exame de qualificação de mestrado","A Música Tintinabular de Arvo Pärt","2008","Brasil","Português","","","",57
"Exame de qualificação de mestrado","Técnicas de geração de sons através de síntese para interação com sons instrumentais na Música Eletroacústica Mista","2004","Brasil","Português","","","",58
"Exame de qualificação de mestrado","O Piano Expandido no século XX nas obras para piano preparado de John Cage","2003","Brasil","Português","","","",59
"Exame de qualificação de mestrado","Associações Multidimensionais coerentes:uma proposta para a criação artística","2002","Brasil","Português","","","",60
"Exame de qualificação de mestrado","A unidade mínima do ator","2002","Brasil","Português","","","",61
"Exame de qualificação de mestrado","Heitor Villa-Lobos. Missa São Sebastião e Bendita Sabedoria, um estudo para a interpretação","2002","Brasil","Português","","","",62
"Exame de qualificação de mestrado","A Dança no reino do improvável. As interferências do acaso no processo de criação coreográfica.","2002","Brasil","Português","","","",63
"Exame de qualificação de mestrado","A fase dodecafônica de Guerra Peixe","2001","Brasil","Português","","","",64
"Exame de qualificação de mestrado","Elementos Musicais a serem abordados na formação profissional em Educação física","2001","Brasil","Português","","","",65
"Exame de qualificação de mestrado","A poética nos "16 poesilúdios" para piano de Almeida Prado: Análise musical","2001","Brasil","Português","","","",66
"Exame de qualificação de mestrado","Questões sobre o universal e o paradoxal na obra para piano de Aylton Escobar","2000","Brasil","Português","","","",67
"Exame de qualificação de mestrado","Uma nova retórica para a música contemporânea","2014","Brasil","Português","","","",68
"Exame de qualificação de mestrado","A escuta e o meio no processo de criação do Grupo Obra Aberta","2014","Brasil","Português","","","",69
"Exame de qualificação de mestrado","Eros e Thanatos - A despedida Musical de Arno Roberto von Buettner","2014","Brasil","Português","","","",70
"Exame de qualificação de doutorado","A Little Suite For Christmas, AD1979 para piano solo de George Crumb: construção da execução instrumental com base no sistema Laban","2015","Brasil","Português","","","",71
"Exame de qualificação de doutorado","Práticas de criação musical em ambientes de ensino coletivo: uma teoria substantiva","2015","Brasil","Português","","","",72
"Exame de qualificação de doutorado","Reflexão e Proposta de Composição por meio de Colagens e citações","2015","Brasil","Português","","","",73
"Exame de qualificação de doutorado","Tentativas de conciliação: Simetrias entre a música antiga","2015","Brasil","Português","","","",74
"Exame de qualificação de mestrado","Instrumentação e Orquestração em Antonio Carlos Gomes: um estudo em seus Prelúdios e Aberturas","2015","Brasil","Português","","","",75
"Exame de qualificação de doutorado","The Musical Score as an instance: Essays in Computer-Assisted Analysis","2016","Brasil","Português","","","",76
"Exame de qualificação de mestrado","Manuseando Harmonia: elucidação de diferentes práticas teóricas da disciplina Harmonia sob a ótica da noção de Perfil Conceitual","2016","Brasil","Português","","","",77
"Exame de qualificação de doutorado","Aproximações e afastamentos entre as teorias de tradução e os processos criativos em transcrições musicais do Rudopoema de Heitor Villa-Lobos","2016","Brasil","Português","","","",78
"Exame de qualificação de doutorado","Música para voz não acompanhada nos séculos XX e XXI","2016","Brasil","Português","","","",79
"Exame de qualificação de mestrado","Considerações sobre a música pós-tonal para piano solo de compositores paraguaios","2017","Brasil","Português","","","",80
"Exame de qualificação de mestrado","Análise e processo criativo em Douze Notations de Pierre Boulez","2017","Brasil","Português","","","",81
"Exame de qualificação de mestrado","Estudos Brasileiros para violão: aspectos de sonoridade nos séculos XX e XXI","2017","Brasil","Português","","","",82
"Exame de qualificação de mestrado","Memória, referencialidade e Expectativa:um estudo sobre Paisagens Sonoras utilizando modelos compiutacionais","2012","Brasil","Português","","","",83
