AREAS-DO-CONHECIMENTO_Id,MESTRADO_Id,DOUTORADO_Id,POS-DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,RELATORIO-DE-PESQUISA_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,ARTES-CENICAS_Id,MUSICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-SEMINARIO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-INICIACAO-CIENTIFICA_Id
105,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,
