AREAS-DO-CONHECIMENTO_Id,MESTRADO_Id,DOUTORADO_Id,POS-DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,RELATORIO-DE-PESQUISA_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,ARTES-CENICAS_Id,MUSICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-SEMINARIO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-INICIACAO-CIENTIFICA_Id
329,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,
367,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,,,119,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,
374,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,,129,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,,
384,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,,134,,,,,,,,,,,,
387,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
394,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
395,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
403,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
405,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
406,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
407,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
408,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
409,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
410,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
411,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
412,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
413,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
414,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
415,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
416,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
417,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
418,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
419,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
420,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,
421,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
422,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
423,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,
424,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,
425,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,
426,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,
427,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,
428,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,
429,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,
430,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,
431,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,
432,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,
433,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,
434,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,
435,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,
436,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,
437,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,
438,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,
439,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,
440,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,
441,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,
442,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,
443,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,
444,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,
445,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,
446,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,
447,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,
448,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,
449,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,
450,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,
451,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
452,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
453,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
454,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
455,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
456,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
457,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
458,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
459,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,
460,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,
461,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,
462,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,
463,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,
464,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,
465,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,
466,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,
467,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,
468,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,
469,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,
470,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,
471,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,
472,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,
473,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,
474,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,
475,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,
476,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
477,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
478,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,
479,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,
480,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,
481,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,
482,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,
483,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,
484,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,
485,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,
486,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,
487,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,
488,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,
489,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,
490,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,
491,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,
492,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,
493,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,
494,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,
495,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,
496,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,
497,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,
498,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,
499,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,
500,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,
501,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
502,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,
503,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
504,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
505,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
506,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,
507,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,
508,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,
509,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,
510,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,
511,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,
512,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,
513,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,
514,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,
515,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,
516,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,
517,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,
518,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,
519,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,
520,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,
521,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,
522,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,
523,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,
524,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,
525,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,
526,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,
527,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,
528,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,
529,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,
530,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,
531,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,
532,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,
533,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,
534,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,
535,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,
536,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,
537,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,
538,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,
539,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,
540,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,
541,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,
542,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,
543,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
544,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
545,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
546,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
547,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
548,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
549,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
550,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
551,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
552,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
553,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
554,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
555,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
556,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
557,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
