TIPO,NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,ORGANIZACAO-DE-EVENTO_Id
"OUTRO","ORGANIZACAO","Programa de Pós-Graduação em Música: Seminário Interno - avaliação e reformulação das áreas de concentração e linhas de pesquisa do Programa","2004","Brasil","","NAO_INFORMADO","","NAO","","","NAO",0
"OUTRO","ORGANIZACAO","V Seminário de Pós-Graduação em Música: Avaliação e Planejamento","2004","Brasil","","VARIOS","","NAO","","","NAO",1
"OUTRO","ORGANIZACAO","Master Classes na Unicamp com a pianista Martine Joste (França)","2002","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",2
"OUTRO","ORGANIZACAO","Seminário da pianista Martine Joste","2002","Brasil","","OUTRO","","NAO","","","NAO",3
"OUTRO","ORGANIZACAO","Um Stradivarius em Campinas","2002","Brasil","","VARIOS","","NAO","","","NAO",4
"OUTRO","ORGANIZACAO","RECITAL CARLOS PRIETO - UM STRADIVARIUS EM CAMPINAS: As aventuras do violoncelo de Carlos Prieto","2002","Brasil","","NAO_INFORMADO","","NAO","","","NAO",5
"CONCERTO","CURADORIA","Concert Carte Blanche de Denise Garcia","2001","Bélgica","Português","MEIO_DIGITAL","","NAO","","","NAO",6
"OUTRO","ORGANIZACAO","Concerto e Palestra do Compositor Inglês Patrick Ozzard Low.","1999","Brasil","","OUTRO","","NAO","","","NAO",7
"CONCERTO","ORGANIZACAO","Apresentação do Grupo Paralax no evento Música e Mídia no SESC-SP Santos","2007","Brasil","Português","VARIOS","","NAO","","","NAO",8
"CONCERTO","ORGANIZACAO","Panorama da Música Brasileira","2011","Brasil","Português","NAO_INFORMADO","","NAO","","Panorama da Música Brasileira","NAO",9
"OUTRO","NAO_INFORMADO","Projeto Quinta do Vídeo","1991","Brasil","Português","IMPRESSO","","NAO","","","NAO",10
"CONCERTO","NAO_INFORMADO","Encuentro Internacional de Teatro Reencuentro Ayacucho","1990","Brasil","Português","IMPRESSO","","NAO","","","NAO",11
"OUTRO","NAO_INFORMADO","Projeto - Desenvolvimento Da Musicalidade Do Ator","1989","Brasil","Português","IMPRESSO","","NAO","","","NAO",12
"OUTRO","ORGANIZACAO","Fenomenologia da música aplicada à composição - Professor visitante: Aldo Brizzi","2000","Brasil","Português","IMPRESSO","","NAO","","","NAO",13
"OUTRO","ORGANIZACAO","Serialismo e pensamento musical nos anos 50","2003","Brasil","Português","OUTRO","","NAO","","","NAO",14
"OUTRO","ORGANIZACAO","Palestra com Jean-Ives Bosseur","2001","Brasil","Português","IMPRESSO","","NAO","","","NAO",15
"CONCERTO","ORGANIZACAO","Grupo Paralax - Música Brasileira","2006","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",16
"CONCERTO","ORGANIZACAO","Concertato","2011","Brasil","Português","VARIOS","","NAO","","","NAO",17
"CONCERTO","ORGANIZACAO","Ensaio Aberto - Grupo Paralax de Música Contemporânea","2006","Brasil","Português","IMPRESSO","","NAO","","","NAO",18
"CONGRESSO","NAO_INFORMADO","XVII Congresso da Anppom","2007","Brasil","Português","VARIOS","","NAO","","","NAO",19
"OUTRO","ORGANIZACAO","Forum "Gestão Orquestral e compromisso social","2015","Brasil","Português","OUTRO","","NAO","","","NAO",20
