NATUREZA,TITULO-DO-TEXTO,ANO-DO-TEXTO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TEXTO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,TEXTO-EM-JORNAL-OU-REVISTA_Id
"JORNAL_DE_NOTICIAS","Um oratório de 1801, por Beethoven","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",0
"JORNAL_DE_NOTICIAS","Obras vocais de Beethoven, hoje e amanhã no Teatro São Pedro","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",1
"JORNAL_DE_NOTICIAS","Cinco anos separam esses quartetos","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",2
"JORNAL_DE_NOTICIAS","Mais Beethoven. Com a Sinfônica Estadual, no teatro São Pedro","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",3
"JORNAL_DE_NOTICIAS","Claude Frank tocará no Masp","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",4
"JORNAL_DE_NOTICIAS","Uma difícil sonata de Beethoven hoje no MASP","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",5
"JORNAL_DE_NOTICIAS","Três belos momentos de Beethoven: suas últimas sonatas","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",6
"JORNAL_DE_NOTICIAS","Algo em comum entre Bartok e Beethoven: estes instrumentos","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",7
"JORNAL_DE_NOTICIAS","Conheça as obras de Beethoven que serão ouvidas no São Pedro","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",8
"JORNAL_DE_NOTICIAS","A grande Fuga de Beethoven, hoje à tarde no São Pedro","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",9
"JORNAL_DE_NOTICIAS","O Concerto nº 2 de Chopin, com Rubinstein, às 21h no canal 5","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",10
"JORNAL_DE_NOTICIAS","Brahms está no programa de hoje da Sinfônica. No Cultura Artística.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",11
"JORNAL_DE_NOTICIAS","Beethoven, às 21hs, no Municipal: Sinfonia nº 6 e Concerto nº 3 - Pastoral","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",12
"JORNAL_DE_NOTICIAS","Cristina Ortiz em recital às 21hs no MASP.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",13
"JORNAL_DE_NOTICIAS","Brahms, um dos autores desta noite no Masp pelo piano de Sebastian Benda.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",14
"JORNAL_DE_NOTICIAS","A obra de Beethoven, que você ouvirá pelo Canal 5, analisada aqui.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",15
"JORNAL_DE_NOTICIAS","O bom humor de Beethoven, hoje e grátis no Cultura Artística","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",16
"JORNAL_DE_NOTICIAS","Beethoven, sábado, no Teatro de Cultura Artística","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",17
"JORNAL_DE_NOTICIAS","A Sinfônica Estadual escolheu Brahms para iniciar sua 5ª etapa","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",18
"JORNAL_DE_NOTICIAS","Dois mestres do Barroco, para hoje.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",19
"JORNAL_DE_NOTICIAS","A evolução do Scherzo, de Beethoven a Chopin. E Brahms para piano.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",20
