PARTICIPACAO-EM-SEMINARIO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"546",0
1,"526",0
2,"205",0
3,"571",0
4,"528",0
5,"207",0
6,"570",0
7,"206",0
8,"537",0
9,"208",0
10,"6",0
