SEQUENCIA-LINHA,TITULO-DA-LINHA-DE-PESQUISA,FLAG-LINHA-DE-PESQUISA-ATIVA,OBJETIVOS-LINHA-DE-PESQUISA,TITULO-DA-LINHA-DE-PESQUISA-INGLES,OBJETIVOS-LINHA-DE-PESQUISA-INGLES,PESQUISA-E-DESENVOLVIMENTO_Id
"1","musicologia","NAO","","","",0
"2","processos criativos em performance sinfônica","NAO","","","",0
"1","musicologia","NAO","","","",1
"2","Análise aplicada de técnicas e processos composicionais","SIM","","","",1
"3","processos Criativos","NAO","","","",1
