NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,APRESENTACAO-DE-TRABALHO_Id
"CONFERENCIA","Perspectivas para a música na contemporaneidade","2004","Brasil","Português","NAO","","","NAO",0
"CONFERENCIA","A Música e outras artes (mesa redonda)","2004","Brasil","Português","NAO","","","NAO",1
"SEMINARIO","Programa de Pós-Graduação em Música: avaliação e reformulação da área de concentração e linha de pesquisa","2004","Brasil","Português","NAO","","","NAO",2
"SEMINARIO","Seminário Pós-Graduação em Música: avaliação e planejamento","2004","Brasil","Português","NAO","","","NAO",3
"CONFERENCIA","'Dos Salmos'","2004","Brasil","Português","NAO","","","NAO",4
"SEMINARIO","Seminário Pós-Graduação em Música: avaliação e planejamento","2003","Brasil","Português","NAO","","","NAO",5
"CONFERENCIA","Op_era: uma jornada através de dimensões paralelas e experimentos multisensoriais","2003","Brasil","Português","NAO","","","NAO",6
"COMUNICACAO","O im-som, o di-som e o me-som ou as inspirações da semiótica peirceana na obra de François Bayle","2003","Brasil","Português","NAO","","","NAO",7
"COMUNICACAO","Projeto e implementação sonora em Op_era, um ambiente imersivo-interativo desenhado em sistemas de realidade virtual","2003","Brasil","Português","NAO","","","NAO",8
"COMUNICACAO","O Processo Composicional em 'Dos Salmos'","2002","Brasil","Português","NAO","","","NAO",9
"SEMINARIO","Pós-Graduação em Música: Avaliação e planejamento","2002","Brasil","Português","NAO","","","NAO",10
"SEMINARIO","Pós-Graduação em Música: Avaliação e Planejamento","2001","Brasil","Português","NAO","","","NAO",11
"COMUNICACAO","Modelos Perceptivos na Música Eletroacústica","2001","Brasil","Português","NAO","","","NAO",12
"COMUNICACAO","Body Representations in Electroacoustic Music","2000","Alemanha","Inglês","NAO","","","NAO",13
"COMUNICACAO","Sound Models, Metaphor and Mimesis in the Composition of Electroacoustic Music","2000","Brasil","Inglês","NAO","","","NAO",14
"OUTRA","Arte e Tecnologia","1999","Brasil","Português","NAO","","","NAO",15
"CONFERENCIA","Tecnologia e Educação Musical na formação do professor","1999","Brasil","Português","NAO","","","NAO",16
"COMUNICACAO","Conceito de imagem-de som de François Bayle","1998","Brasil","Português","NAO","","","NAO",17
"COMUNICACAO","A Música em Kelbilim o cão da divindade, ou as múltiplas funções da música em cena","2005","Brasil","Português","NAO","","","NAO",18
"COMUNICACAO","Cidade de Gilberto Mendes: o toca-discos e gravador como instrumentos musicais?","2005","Brasil","Português","NAO","","","NAO",19
