OUTRAS-BANCAS-JULGADORAS_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-JULGADORA_Id
0,"180",0
1,"181",0
2,"801",0
3,"803",0
4,"313",0
