NATUREZA,TITULO,ANO,PAIS,MEIO-DE-DIVULGACAO,IDIOMA,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRA-PRODUCAO-TECNICA_Id
"Seminário","Pós-Graduação em Música: avaliação e planejamento","2004","Brasil","VARIOS","Português","","NAO","","","","NAO",0
"Seminário","Seminários Experimentais- organização de palestras vinculada à disciplina da Pós-Graduação","2002","Brasil","OUTRO","Português","","NAO","","","","NAO",1
"Assessoria Musical - Assistência de Direção","Transmissão ao vivo do concerto da Orquestra Filarmônica de Munique pela ZDF - Segunda Televisão Alemã","1983","Alemanha","NAO_INFORMADO","Alemão","","NAO","","","","NAO",2
"Seminário","SEMINÁRIOS EXPERIMENTAIS II","1996","Brasil","IMPRESSO","Português","","NAO","","","","NAO",3
