NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id
"Dissertação de mestrado","ACADEMICO","O Gesto Vocal: comunicação e gestualidade da voz no teatro contemporâneo","2002","Brasil","Português","","NAO","","",0
"Dissertação de mestrado","ACADEMICO","Sinfonia: uma experiência em composição multidimensional","2002","Brasil","Português","","NAO","","",1
"Dissertação de mestrado","ACADEMICO","A dança no reino do improvável: as interferências do acaso na ação coreográfica","2004","Brasil","Português","","NAO","","",2
"Dissertação de mestrado","ACADEMICO","Interação tímbrica na música eletroacústica mista","2005","Brasil","Português","","NAO","","",3
"Dissertação de mestrado","ACADEMICO","Processo de estruturação na escuta de musica eletroacústica","2005","Brasil","Português","","NAO","","",4
"Dissertação de mestrado","ACADEMICO","Composição pelo Som: trabalho composicional e analítico de repertório instrumental por métodos de análise da música eletroacústica","2006","Brasil","Português","","NAO","","",5
"Dissertação de mestrado","ACADEMICO","A música de Morton Feldman sob a ótica de sua compreensão da pintura do expressionismo abstrato","2006","Brasil","Português","","NAO","","",6
"Dissertação de mestrado","ACADEMICO","Uma técnica pianística e seu método de ensino","2006","Brasil","Português","","NAO","","",7
"Dissertação de mestrado","ACADEMICO","Estruturação audiovisual através de qualidades morfológicas","2007","Brasil","Português","","NAO","","",8
"Dissertação de mestrado","ACADEMICO","Música eletroacústica no estado de São Paulo: segunda geração (anos 1981-2009)","2008","Brasil","Português","","NAO","","",9
"Dissertação de mestrado","ACADEMICO","A música tintinabular de Arvo Part","2008","Brasil","Português","","NAO","","",10
"Dissertação de mestrado","ACADEMICO","A peça concatenação nº 162 do Ludus Brasiliensis de Ernest Widmer: uma proposta de análise musical","2007","Brasil","Português","","NAO","","",11
"Dissertação de mestrado","ACADEMICO","Metáfora e Composição Musical: aspectos da construção simbólica no processo criativo.","2011","Brasil","Português","","NAO","","",12
"Dissertação de mestrado","ACADEMICO","Trnasmutação na Música de Esctitura","2012","Brasil","Português","","NAO","","",13
"Dissertação de mestrado","ACADEMICO","Luciano Berio - Conexão e fusão entre voz e instrumentos em Agnus e O King","2012","Brasil","Português","","NAO","","",14
"Dissertação de mestrado","ACADEMICO","Estéticas Cruzadas: rupturas e deslocamentos em Claudio Santoro, Guerra-Peixe e Eunice Katunda","2015","Brasil","Português","","NAO","","",15
"Dissertação de mestrado","ACADEMICO","Catálogo Comentado da obra completa de Maria Helena Rosas Fernandes","2013","Brasil","Português","","NAO","","",16
"Dissertação de mestrado","ACADEMICO","O piano expandido no século XX nas obras para piano preparado de John Cage","2004","Brasil","Português","","NAO","","",17
