NOME-DO-PROJETO,NUMERO-DE-PAGINAS,DISPONIBILIDADE,INSTITUICAO-FINANCIADORA,RELATORIO-DE-PESQUISA_Id
"FACES DA MUSICA ELETROACUSTICA BRASILEIRA: O GRUPO MUSICA NOVA E SEU PIONEIRISMO NA UTILIZACAO DE RECURSOS TECNOLOGICOS.","100","RESTRITA","FAPESP",0
"Faces da Música Eletroacústica Brasileira: o Estúdio da Glória nos anos 80 e 90","46","RESTRITA","Conselho Nacional de Desenvolvimento Científico e Tecnológico",1
"Faces da Música Eletroacústica Brasileira: compositores do Rio de Janeiro nos anos 80 e 90","384","RESTRITA","CNPq",2
