NOME,ENTIDADE_PROMOTORA,ANO_DA_PREMIACAO
?Irene Crooker Award?,College of Visual and Performing Arts of Syracuse University,1990
Trabalho indicado para publicação no 1o prêmio Esther Scliar de Educação Musical,Escola de Música Villa-Lobos e Funarj,1998
Mérito Científico,XXII Congresso de Iniciação Científica da Unicamp,2014
