NOME_INSTITUICAO
Laboratório de Habitação e Assentamentos Humanos da FAUUSP
Faculdades de Campinas
Universidade de São Paulo
Câmara Municipal de São Paulo
Instituto de Pesquisa e Planejamento Urbano e Regional
Revista Caramelo
"URBE Planejamento, Programação e Projetos"
Universidade Estadual de Campinas
Columbia University
City University of New York
United Nations Organization
École Nationale Supérieure d'Architecture de Grenoble
Instituto de Pesquisa Econômica Aplicada - DF
EURE (Santiago. Impresa)
Revista Brasileira de Estudos Urbanos e Regionais (ANPUR)
Cadernos Metrópole
Revista Brasileira de Estudos Urbanos e Regionais (ANPUR)
Revista de Economia Política (Impresso)
Pós. Revista do Programa de Pós-Graduação em Arquitetura e Urbanismo da FAU
Fundação de Amparo à Pesquisa do Estado de São Paulo
