NOME,DESCRICAO,PROFICIENCIA_DE_LEITURA,PROFICIENCIA_DE_FALA,PROFICIENCIA_DE_ESCRITA,PROFICIENCIA_DE_COMPREENSAO
EN,Inglês,BEM,RAZOAVELMENTE,POUCO,RAZOAVELMENTE
ES,Espanhol,RAZOAVELMENTE,POUCO,POUCO,RAZOAVELMENTE
