NOME,ENTIDADE_PROMOTORA,ANO_DA_PREMIACAO
Professor homenageado dos formandos de 2006 do curso Ciências Econômicas,FACAMP,2007
Professor homenageado dos formandos de 2007 do curso Ciências Econômicas,FACAMP,2008
Prêmio do melhor artigo na área de finanças no XV SEMEAD.,SEMEAD / FEA-USP,2012
Paraninfo da Turma 2008 do curso de Ciências Econômicas da Universidade Estadual de Campinas,NULL,2013
"Prêmio do melhor artigo na sub-área ""Gestão de Riscos, Crises e Derivativos"" no XVI SEMEAD.",FEA/USP,2013
Paraninfo da Turma 2009 do curso de Ciências Econômicas da Universidade Estadual de Campinas,NULL,2014
Paraninfo da Turma 2011 do curso de Ciências Econômicas da Universidade Estadual de Campinas,NULL,2016
Professor homenageado da Turma 2012 do curso de Ciências Econômicas da Universidade Estadual de Campinas,NULL,2017
