NOME_INSTITUICAO
Faculdades de Campinas
Instituto Santanense de Ensino Superior
Centro de Ensino a Distância S/A
Bolsa de Mercadorias & Futuros
Fundação Instituto de Pesquisas Econômicas
Universidade Estadual de Campinas
Revista de Economia e Sociologia Rural
Economia e Sociedade (UNICAMP)
Fundação de Amparo à Pesquisa do Estado de São Paulo
Revista Brasileira de Inovação
University of Nebraska/Lincoln
