NOME_INSTITUICAO
Fundação de Economia e Estatística
Universidade Presbiteriana Mackenzie
Fundação Seade Sistema Estadual de Análise de Dados
Universidade Estadual de Campinas
Faculdades de Campinas
Universidade Federal do Rio Grande do Sul
Secretaria da Fazenda do Estado do Rio Grande do Sul
Faculdade de Ciências Contábeis e Administrativas de Taquara
Universidade Federal do Rio Grande do Norte
Instituto de Pesquisa Econômica Aplicada - DF
Universidade Kassel
Centro de Gestão e Estudos Estratégicos
Foundation for European Progressive Studies
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior
Bard College
Journal of Post Keynesian Economics
Nova Economia (UFMG. Impresso)
Spatial Economic Analysis
Revista de Economia (Curitiba)
Revista de Economia Contemporânea (Impresso)
Análise Econômica (UFRGS)
Economia e Sociedade (UNICAMP. Impresso)
Revista de Economia Política (Impresso)
Leituras de Economia Política (UNICAMP)
Estudo & Debate (UNIVATES. Impresso)
Conselho Nacional de Desenvolvimento Científico e Tecnológico
Associação Nacional de Centros de Pós-Graduação em Economia
