NOME,TIPO_ENSINO,NOME_CURSO,NOME_INSTITUICAO,FLAG_PERIODO,MES_INICIO,ANO_INICIO,MES_FIM,ANO_FIM
Pedagogia e didática musical I,GRADUACAO,Graduação em Música,Universidade Estadual de Campinas,ANTERIOR,08,1996,07,1997
Pedagogia e didática musical II,GRADUACAO,Graduação em Música,Universidade Estadual de Campinas,ANTERIOR,08,1996,07,1997
Tópicos Especiais em Educação Musical MS108-A (Desenvolvimento Humano e Aprendizagem Musical),POS-GRADUACAO,Artes,Universidade Estadual de Campinas,ATUAL,08,2011,NULL,NULL
Tópicos Especiais em Educação Musical MS108-A (Aprendizagem Musical e Educação Inclusiva),POS-GRADUACAO,Artes,Universidade Estadual de Campinas,ATUAL,08,2011,NULL,NULL
Estágio Pedagógico I e II,GRADUACAO,Música,Universidade Estadual de Campinas,ATUAL,08,2011,NULL,NULL
Fundamentos Filosóficos da Arte Educação,GRADUACAO,Música,Universidade Estadual de Campinas,ATUAL,08,2011,NULL,NULL
"Instrumento I, II, III e IV",GRADUACAO,Música,Universidade Estadual de Campinas,ATUAL,08,2011,NULL,NULL
Introdução à Pesquisa,GRADUACAO,Música,Universidade Estadual de Campinas,ATUAL,08,2011,NULL,NULL
"Pedagogia e Didática musical I, II, III e IV",GRADUACAO,Música,Universidade Estadual de Campinas,ATUAL,08,2011,NULL,NULL
"Prática de Ensino I, II, III e IV",GRADUACAO,Música,Universidade Estadual de Campinas,ATUAL,08,2011,NULL,NULL
"Instrumento Complementar I, II, III e IV; Laboratório de Instrumentos Harmônicos; Tópicos Especiais em Música MU054, MU055, MU056 e MU057; Tópicos Especiais em Música MP170, MP270, MP370 e MP470.",GRADUACAO,Música,Universidade Estadual de Campinas,ATUAL,08,2011,NULL,NULL
Pedagogia e Didática musical I e II,GRADUACAO,Música,Universidade Estadual de Campinas,ANTERIOR,07,2010,04,2011
Estágio Pedagógico I e II,GRADUACAO,Música,Universidade Estadual de Campinas,ANTERIOR,07,2010,04,2011
Estágio docente para as disciplinas Pedagogia e Didática Musical I e II,GRADUACAO,Música,Universidade Estadual de Campinas,ANTERIOR,03,2009,12,2009
Estágio Pedagógico I e II,GRADUACAO,Música,Universidade Estadual de Campinas,ANTERIOR,03,2009,12,2009
Estagio docente na disciplina Pedagogia,GRADUACAO,Música,Universidade Estadual de Campinas,ANTERIOR,08,2008,12,2008
Estagio docente na disciplina Didática Musical II,GRADUACAO,Música,Universidade Estadual de Campinas,ANTERIOR,08,2008,12,2008
Piano 120,GRADUACAO,Bacharelado em Música,Syracuse University,ANTERIOR,09,1990,05,1991
Piano 125,GRADUACAO,Bacharelado em Música,Syracuse University,ANTERIOR,09,1990,05,1991
Educação Musical Prática e Ensino II,GRADUACAO,Licenciatura em Educação Musical,Universidade Federal de São Carlos,ANTERIOR,09,2007,07,2008
História Social da Música I,GRADUACAO,Licenciatura em Educação Musical,Universidade Federal de São Carlos,ANTERIOR,09,2007,07,2008
Historia Social da Musica II,GRADUACAO,Licenciatura em Educação Musical,Universidade Federal de São Carlos,ANTERIOR,09,2007,07,2008
Introdução à Leitura Musical,GRADUACAO,Licenciatura em Educação Musical,Universidade Federal de São Carlos,ANTERIOR,09,2007,07,2008
Introdução à Pesquisa em Educação Musical,GRADUACAO,Licenciatura em Educação Musical,Universidade Federal de São Carlos,ANTERIOR,09,2007,07,2008
Pesquisa em Educação Musical,GRADUACAO,Licenciatura em Educação Musical,Universidade Federal de São Carlos,ANTERIOR,09,2007,07,2008
Projeto em Educação Musical,GRADUACAO,Licenciatura em Educação Musical,Universidade Federal de São Carlos,ANTERIOR,09,2007,07,2008
Pianista Acompanhadora do Coral da Escola ,ENSINO-FUNDAMENTAL,NULL,Escola Aletheia,ANTERIOR,03,1996,09,2003
Tópicos em Educação Musical,POS-GRADUACAO,Música,Centro Universitário Adventista de São Paulo,ANTERIOR,01,2009,12,2011
; Metodologia e Prática do Ensino Musical,POS-GRADUACAO,Música,Centro Universitário Adventista de São Paulo,ANTERIOR,01,2009,12,2011
Metodologia e Prática do Ensino Musical para o Curso de Regência de Coral com Capacitação para Docência.,POS-GRADUACAO,Música,Centro Universitário Adventista de São Paulo,ANTERIOR,01,2009,12,2011
Estágio Supervisionado,GRADUACAO,Música,Universidade Metodista de Piracicaba,ANTERIOR,01,2010,12,2010
Elaboração de Projetos I e II,GRADUACAO,Música,Universidade Metodista de Piracicaba,ANTERIOR,01,2010,12,2010
