SITUACAO,TITULO,ANO_DO_ARTIGO
COMPLETO,Paisagens sonoras e parangolés: uma proposta interdisciplinar entre alunos dos cursos de graduação em Artes Visuais e Dança,2014
COMPLETO,Considerações sobre o ensino e a aprendizagem significativa da escrita musical na musicalização de crianças,1998
