NOME_COMPLETO,NOME_PARA_CITACAO,FLAG_RESPONSAVEL,PROJETO_NOME
Adriana do Nascimento Araujo Mendes,"MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA",SIM,Um estudo sobre a produção em arte e tecnologia no curso de Licenciatura em Música do Instituto de Artes da Unicamp como embasamento para análise dos impactos das novas tecnologias na arte-educação
Patricia Kawaguchi Cesar,"CESAR, Patricia K.",NAO,Um estudo sobre a produção em arte e tecnologia no curso de Licenciatura em Música do Instituto de Artes da Unicamp como embasamento para análise dos impactos das novas tecnologias na arte-educação
Rafael Brienza de Almeida,"ALMEIDA, Rafael B.",NAO,Um estudo sobre a produção em arte e tecnologia no curso de Licenciatura em Música do Instituto de Artes da Unicamp como embasamento para análise dos impactos das novas tecnologias na arte-educação
Alexandre Henrique dos Santos,"SANTOS, Alexandre H.",NAO,Um estudo sobre a produção em arte e tecnologia no curso de Licenciatura em Música do Instituto de Artes da Unicamp como embasamento para análise dos impactos das novas tecnologias na arte-educação
Adriana do Nascimento Araujo Mendes,"MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA",SIM,Oficina de musicalização infantil
Patricia Kawaguchi Cesar,"CESAR, Patricia K.",NAO,Oficina de musicalização infantil
Ana Lia Della Torre,"TORRE, Ana Lia D.",NAO,Oficina de musicalização infantil
Hugo Romano Mariano,"MARIANO, Hugo R.",NAO,Oficina de musicalização infantil
Adriana do Nascimento Araujo Mendes,"MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA",SIM,PIBID
Adriana do Nascimento Araujo Mendes,"MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA",SIM,A Rítmica Dalcroze: uma educação por e para a música
Iramar Eustachio Rodrigues,Iramar Rodrigues,NAO,A Rítmica Dalcroze: uma educação por e para a música
Adriana do Nascimento Araujo Mendes,"MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA",SIM,PIBID
Adriana do Nascimento Araujo Mendes,"MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA",SIM,LIFE
Eliana Ayoub,"AYOUB, E.",NAO,LIFE
Marisa Lambert,"LAMBERT, M.",NAO,LIFE
Adriana do Nascimento Araujo Mendes,"MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA",SIM,PROCAD/Casadinho/CAPES
José Augusto Mannis,"MANNIS, José A.",NAO,PROCAD/Casadinho/CAPES
Roberta Azzi,"AZZI, Roberta",NAO,PROCAD/Casadinho/CAPES
Ana Cristina da Gama Tourinho,"TOURINHO, Ana C. da G.",NAO,PROCAD/Casadinho/CAPES
Joel Barbosa,"BARBOSA, Joel",NAO,PROCAD/Casadinho/CAPES
Diana Santiago,"SANTIAGO, Diana",NAO,PROCAD/Casadinho/CAPES
Alda de Oliveira,"OLIVEIRA, Alda de",NAO,PROCAD/Casadinho/CAPES
Claudiney Carrasco,"CARRASCO, Claudiney",NAO,PROCAD/Casadinho/CAPES
Lenita Nogueira,"NOGUEIRA, Lenita",NAO,PROCAD/Casadinho/CAPES
Luciana Del Ben,"BEN, Luciana D.",NAO,PROCAD/Casadinho/CAPES
Jusamara Souza,"SOUZA, Jusamara",NAO,PROCAD/Casadinho/CAPES
Cristina Gerling,"GERLING, Cristina",NAO,PROCAD/Casadinho/CAPES
Adriana do Nascimento Araujo Mendes,"MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA",SIM,Educação Musical: Teoria e Prática
Alexandre Henrique dos Santos,"SANTOS, Alexandre H.",NAO,Educação Musical: Teoria e Prática
Rafael Keidi Kashima,"KASHIMA, Rafael K.",NAO,Educação Musical: Teoria e Prática
Karen Ildete Stahl Soler Zaneti,"ZANETI, Karen S. S. Z.",NAO,Educação Musical: Teoria e Prática
Ana Carolina Buzato Marchi,"MARCHI, Ana Carolina B.",NAO,Educação Musical: Teoria e Prática
Lucilene Ferreira da Silva,"SILVA, Lucilene F.",NAO,Educação Musical: Teoria e Prática
Angélica María Contreras Peña,"PEÑA, Angélica María C.",NAO,Educação Musical: Teoria e Prática
Adriana do Nascimento Araujo Mendes,"MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA",NAO,Projeto Musical Primeira Nota
Leandro Barsalini,"BARSALINI, L.",NAO,Projeto Musical Primeira Nota
Fernando Augusto de Almeida Hashimoto,"HASHIMOTO, F. A. A.",SIM,Projeto Musical Primeira Nota
Paulo Adriano Ronqui,"RONQUI, Paulo A.",NAO,Projeto Musical Primeira Nota
Adriana do Nascimento Araujo Mendes,"MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA",SIM,Projeto PIBIC Ensino Médio-?Tecnologias aplicadas ao ensino e aprendizagem musical?
