TITULO,FLAG_ATIVA,OBJETIVOS
Análise da Demanda e do Suprimento de Energia,NAO,NULL
Fluidodinâmica e Transferência de Calor em Escoamento Multifásico,NAO,NULL
Modelagem Matemática e Sistemas inteligentes,NAO,NULL
Pesquisa Fundamental e Métodos Computacionais em Fenômenos de Transporte,NAO,NULL
Sistemas de Energia Elétrica e Política Energética,NAO,NULL
Previsão de Séries Temporais,NAO,NULL
