NOME,DESCRICAO,PROFICIENCIA_DE_LEITURA,PROFICIENCIA_DE_FALA,PROFICIENCIA_DE_ESCRITA,PROFICIENCIA_DE_COMPREENSAO
EN,Inglês,BEM,BEM,BEM,NAO_INFORMADO
ES,Espanhol,POUCO,BEM,POUCO,NAO_INFORMADO
