NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-CONGRESSO_Id
"XXVI Escola de Verão em Química","","UFSCar","UFSCar","São Carlos-SP","",0
"4th Brazilian Conference on Natural Products","","","","Natal- RN","",1
"XXVI Escola de Verão em Química 2006","","UFSCar","UFSCar","São Carlos-SP","",2
"XXV Escola de Verão em Química","","UFSCar","UFSCar","São Carlos-SP","",3
"3o Brmass","","","","Campinas","",4
"5th Brazilian Conference on Natural Products","","","","Atibaia","",5
"30ª Reunião da Sociedade Brsileira de Química","","","","Águas de Lindóia","",6
"Escola de verão em quimica orgânica","","Ufscar","DQ","São carlos-SP","",7
"XXVI Escola de Verão em Química","","UFSCar","UFSCar","São Carlos-SP","",8
"31ª Reunião Anual da Sociedade Brasileira de Quimica","","","","Águas de Lindóia","",9
"Brazilian Conference on natural products","","","","Sao Pedro","",10
"29ª reunião Anual da Sociedade Brasileira de Química","","","","Águas de Lindóia","",11
"Four Biotec- Quatro dias pela Biotecnologia","","","","São Carlos","",12
"XXV Escola de Verão em Química","","UFSCar","UFSCar","São Carlos -SP","",13
"XXV Escola de Verão em Química","","UFSCar","UFSCar","São Carlos-SP","",14
"XXIV Escola de Verão em Química","","UFSCar","UFSCar","São Carlos-SP","",15
"Metabolic profiling","","","","Florença","",16
"32a Sociedade Brasileira de Quimica","","","","Fortaleza","",17
"XXIV Escola de Verão em Química","","UFSCar","UFSCar","São Carlos -SP","",18
"2nd Brazilian Conference on Natural Products","","","","São Pedro","",19
