CLASSIFICACAO-DO-EVENTO,NOME-DO-EVENTO,CIDADE-DO-EVENTO,ANO-DE-REALIZACAO,TITULO-DOS-ANAIS-OU-PROCEEDINGS,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,ISBN,NOME-DA-EDITORA,CIDADE-DA-EDITORA,NOME-DO-EVENTO-INGLES,TRABALHO-EM-EVENTOS_Id
"NACIONAL","29ª Reunião Anual da Sociedade Brasileira de Química","Águas de lindóia","2006","29ª Reunião Anual da Sociedade Brasileira de Química","","","","","","","","","",0
"NACIONAL","XIII Congresso de Iniciação Científica","São Carlos-SP","2005","XIII Congresso de Iniciação Científica","","","","","","","","","",1
"NACIONAL","XIII Congresso de Iniciação Científica","São Carlos-SP","2004","XIII Congresso de Iniciação Científica","","","","","","","","","",2
"NACIONAL","XIV Congresso de iniciação científica","São Carlos-SP","2006","XIV Congresso de iniciação científica","","","","","","","","","",3
"NACIONAL","30 ª Reunião Anual da Sociedade Brasileira de Química","Águas de Lindóia","2007","30ª Reunião Anual da Sociedade Brasileira de Química","","","","","","","","","",4
"NACIONAL","30ª Reunião Anual da Sociedade Brasileira de Química","Águas de Lindóia","2007","30ª Reunião Anual da Sociedade Brasileira de Química","","","","","","","","","",5
"NACIONAL","XV Congresso de Iniciação Científica","São Carlos","2007","7ª Jornada Científica da UFSCar","","","","","","","","","",6
"INTERNACIONAL","Brazilian Conference on Natural Products","São Pedro","2007","Brazilian Conference on Natural Products","","","","","","","","","",7
"NACIONAL","31ª Reunião Anual da Sociedade Brasileira de Química","Águas de Lindóia","2008","31ª Reunião Anual da Sociedade Brasileira de Química","","","","","","","","","",8
"NACIONAL","31ª Reunião Anual da Sociedade Brasileira de Química","Águas de lindóia","2008","31ª Reunião Anual da Sociedade Brasileira de Química","","","","","","","","","",9
"NACIONAL","31ª Reunião Anual da Sociedade Brasileira de Química","Águas de Lindóia","2008","31ª Reunião Anual da Sociedade Brasileira de Química","","","","","","","","","",10
"NACIONAL","31ª Reunião Anual da Sociedade Brasileira de Química","Águas de Lindóia","2008","31ª Reunião Anual da Sociedade Brasileira de Química","","","","","","","","","",11
"NACIONAL","XVI Congresso de iniciação científica","São Carlos","2008","XVI Congresso de iniciação científica","","","","","","","","","",12
"INTERNACIONAL","III Encuentro Regional de Biocatálisis y Biotransformaciones","San Luis","2008","III Encuentro Regional de Biocatálisis y Biotransformaciones","","","","","","","","","",13
"INTERNACIONAL","III Encuentro Regional de Biocatalisis y Biotransformaciones","San Luis-Argentina","2008","III Encuentro Regional de Biocatalisis y Biotransformaciones","","","","","","","","","",14
"INTERNACIONAL","Brazilian Conference on Natural Products","São Pedro","2009","Brazilian Conference on Natural Products","","","","","","","","","",15
"NACIONAL","32a Reunião Anual da Sociedade Brasileira de Química","Fortaleza","2009","32a Reunião Anual da Sociedade Brasileira de Química","","","","","","","","","",16
"NACIONAL","32a Reunião Anual da Sociedade Brasileira de Química","Fortaleza","2009","32a Reunião Anual da Sociedade Brasileira de Química","","","","","","","","","",17
"INTERNACIONAL","3o Brmass","Campinas","2009","3o Brmass","","","","","","","","","",18
"INTERNACIONAL","Metabolic profiling","Florença","2010","metabolic profiling","","","","","","","","","",19
"INTERNACIONAL","2nd Brazilian Conference on Natural products","São Pedro","2009","2nd Brazilian Conference on Natural products","","","","","","","","","",20
"INTERNACIONAL","3rd BrMass","Campinas","2009","3rd Brmass","","","","","","","","","",21
"NACIONAL","XVIII Congresso de Iniciação Cientifica da UFSCar","São Carlos","2010","XVIII Congresso de Iniciação Cientifica da UFSCar","","","","","","","","","",22
"NACIONAL","XVIII Congresso de Iniciação Cientifica da UFSCar","São Carlos","2010","XVIII Congresso de Iniciação Cientifica da UFSCar","","","","","","","","","",23
"NACIONAL","XVIII Congresso de Iniciação Cientifica da UFSCar","São Carlos","2010","XVIII Congresso de Iniciação Cientifica da UFSCar","","","","","","","","","",24
"NACIONAL","28º Congresso Brasileiro de Microbiologia","Foz do Iguaçu","2015","28º Congresso Brasileiro de Microbiologia","","","","","","","","","",25
"NAO_INFORMADO","XXIV Congresso de Iniciação Científica da UNICAMP","Campinas","2016","XXIV Congresso de Iniciação Científica da UNICAMP","","","","","","","","","",26
"NACIONAL","XXIV Congresso de Iniciação Científica da UNICAMP","Campinas","2016","XXIV Congresso de Iniciação Científica da UNICAMP","","","","","","","","","",27
"INTERNACIONAL","5th Brazilian Conference on Natural Products","Atibaia","2015","5th Brazilian Conference on Natural Products","","","","","","","","","",28
