SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,ATIVIDADE-REALIZADA,NOME-UNIDADE,OUTRAS-ATIVIDADES-TECNICO-CIENTIFICA_Id
"2","ANTERIOR","9","2004","10","2005","033502000003","Centro de Ciências Exatas e de Tecnologia","033502006001","Iniciação científica Estudo de substâncias inseticidas produzidas pelo fungo Penicillium sp., isolado como endofítico de Melia azedarach","Centro de Ciências Exatas e de Tecnologia",0
"4","ANTERIOR","11","2005","12","2006","033502000003","Centro de Ciências Exatas e de Tecnologia","033502006001","Iniciação científica Análise e produção de amidas bis-fenilpropanoídicas em culturas do fungo Penicillium sp., isolado como endofítico de Melia azedarach","Centro de Ciências Exatas e de Tecnologia",0
