NATUREZA,TITULO-DO-TRABALHO,ANO-DO-TRABALHO,PAIS-DO-EVENTO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TRABALHO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,TRABALHO-EM-EVENTOS_Id
"COMPLETO","Análise por HPLC de amidas bis-fenilpropanoídicas em cultura do fungo Penicillium sp., isolado como endofítico de Melia azedarach","2006","Brasil","Português","IMPRESSO","","NAO","","","NAO",0
"COMPLETO","Isolamento de substâncias inseticidas produzidas pelo fungo Penicillium sp.","2005","Brasil","Português","MEIO_DIGITAL","","NAO","","","NAO",1
"COMPLETO","Grupo PET/QUIMICA-UFSCar- atividades desenvolvidas no ano de 2004","2004","Brasil","Português","IMPRESSO","","NAO","","","NAO",2
"COMPLETO","OTIMIZAÇÃO DA PRODUÇÃO DE AMIDAS BIS-FENILPROPANOÍDICAS PELO FUNGO PENICILLIUM SP., ISOLADO COMO ENDOFÍTICO DE MELIA AZEDARACH","2006","Brasil","Português","MEIO_DIGITAL","","NAO","","","NAO",3
"RESUMO","Detecção seletiva de amidas Bis-fenilpropanoidicas por MS/MS em culturas do fungo Penicillium brasilianum","2007","Brasil","Português","IMPRESSO","","NAO","","Selective detection of bis-phenylpropanoids by MS/MS produced by Penicillium brasilianum","NAO",4
"RESUMO","Atividade antibiótica de substâncias produzidas pelo fungo Penicillium brasilianum, um endofítico de melia azedarach.","2007","Brasil","Português","IMPRESSO","","NAO","","Antibiotic activity of compounds produced by Penicillium brasilianum","NAO",5
"RESUMO_EXPANDIDO","Investigação da produção da substância anticancerígena GKK1032 pelo fungo Penicillium sp, isolado como endofítico de Murraya paniculata","2007","Brasil","Português","MEIO_DIGITAL","","NAO","","","NAO",6
"RESUMO_EXPANDIDO","The effect of Phenylalanine addition on the biosynthesis of Bis-phenylpropanoid amides in the fungus Penicillium sp. isolated as endophyte from Melia azedarach.","2007","Brasil","Inglês","MEIO_DIGITAL","","NAO","","","NAO",7
"RESUMO","Estudo da cinética de produção da substância Brasiliamida A pelo fungo Penicillium sp., isolado de melia azedarach.","2008","Brasil","Português","IMPRESSO","","NAO","","","NAO",8
"RESUMO","Ensaio para determinação da concentração mínima inibitória (MIC) da substância Brasiliamida A produzida pelo fungo Penicillium sp.","2008","Brasil","Português","IMPRESSO","","NAO","","","NAO",9
