NOME-DO-PREMIO-OU-TITULO,NOME-DA-ENTIDADE-PROMOTORA,ANO-DA-PREMIACAO,NOME-DO-PREMIO-OU-TITULO-INGLES,PREMIOS-TITULOS_Id
"Best poster- Poster section 1","2nd Brazilian Conference on Natural products","2009","",0
"Best poster","4th Brazilian Conference on Natural products","2013","",0
"Best Short Presentation","5th Brazilian Conference on Natural Products","2015","",0
"Incentivo de Visibilidade PPGQ-UFSCar, Programa de Pós-Graduação em Química UFSCar.","Universidade Federal de São Carlos","2013","",0
