NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-ENCONTRO_Id
"Encontro","I Semana da Química","2004","Brasil","","NAO_INFORMADO","","NAO","","","","","NAO",0
"Encontro","AVALIAÇÃO DA ADIÇÃO DE AMINOÁCIDOS NO METABOLISMO SECUNDÁRIO DO FUNGO PENICILLIUM SP. ISOLADO COMO ENDOFÍTICO DE MURRAYA PANICULATA.","2008","Argentina","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",1
