NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,APRESENTACAO-DE-TRABALHO_Id
"SIMPOSIO","Compostos inseticidas produzidos pelo fungo Penicillium brasilianum","2009","Brasil","Português","NAO","","","NAO",0
"CONFERENCIA","Estudos Biossintéticos visando a descoberta de novos produtos naturais microbioanos","2015","Brasil","Português","NAO","","","NAO",1
"CONFERENCIA","Descoberta de Produtos Naturais na era pós-genômica","2015","Brasil","Português","NAO","","","NAO",2
