INSTITUICAO-PROMOTORA,DURACAO-EM-SEMANAS,FLAG-EVENTO-ITINERANTE,FLAG-CATALOGO,LOCAL,CIDADE,ORGANIZACAO-DE-EVENTO_Id
"Universidade Federal de São Carlos","1","N","","UFSCar","São Carlos",0
"Universidade Estadual de Campinas","1","N","","Tauá Hotel & Convention in Atibaia-SP","",1
