PROJETO-DE-PESQUISA_Id,SEQUENCIA-PROJETO,ANO-INICIO,ANO-FIM,NOME-DO-PROJETO,SITUACAO,NATUREZA,NUMERO-GRADUACAO,NUMERO-ESPECIALIZACAO,NUMERO-MESTRADO-ACADEMICO,NUMERO-MESTRADO-PROF,NUMERO-DOUTORADO,DESCRICAO-DO-PROJETO,IDENTIFICADOR-PROJETO,DESCRICAO-DO-PROJETO-INGLES,NOME-DO-PROJETO-INGLES,FLAG-POTENCIAL-INOVACAO,NOME-COORDENADOR-CERTIFICACAO,DATA-CERTIFICACAO,NUMERO_TECNICO_NIVEL_MEDIO,PARTICIPACAO-EM-PROJETO_Id
0,"1","2016","","Estudos biossintéticos utilizando abordagens Bottom-up de policetídeos produzidos por fungos do gênero Penicillium","EM_ANDAMENTO","PESQUISA","","","","","","A biossíntese de produtos naturais microbianos tem despertado grande interesse na comunidade científica e estudos genéticos de micro-organismos já parecem representar a realidade das pesquisas modernas envolvendo biossíntese de produtos naturais microbianos. O projeto visa estudos de biologia molecular e estudos genéticos de fungos filamentosos do gênero Penicillium no Departamento de Química Orgânica do Instituto de Química da Unicamp, que convergem para a possibilidade de estudos biossintéticos de clusters de genes de produtos naturais, assim como estudos enzimáticos através de expressão heteróloga de enzimas biossintéticas de interesse.","","","Estudos biossintéticos utilizando abordagens Bottom-up de policetídeos produzidos por fungos do gênero Penicillium","NAO","","","",0
1,"2","2015","2016","Estudos biossintéticos de produtos naturais microbianos","CONCLUIDO","PESQUISA","3","","1","","1","PAPDIC - Programa de Apoio ao Docente em Início de Carreira, FAEPEX UNICAMP","","","","NAO","","","",1
