PARTICIPACAO-EM-CONGRESSO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"8",0
1,"65",0
2,"2",0
3,"12",0
4,"43",0
5,"75",0
6,"29",0
7,"1",0
8,"9",0
9,"30",0
10,"31",0
11,"28",0
12,"64",0
13,"11",0
14,"10",0
15,"13",0
16,"46",0
17,"41",0
18,"14",0
19,"42",0
