TITULO-DO-PERIODICO-OU-REVISTA,ISSN,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,ARTIGO-PUBLICADO_Id
"Zeitschrift für Naturforschung. C, A Journal of Biosciences","09395075","38","000","8","1035","1044","Deutschland",0
"Zeitschrift für Naturforschung. C, A Journal of Biosciences","09395075","64","","c","355","360","",1
"Acta Crystallographica. Section E","16005368","65","","","o221","o221","",2
"Journal of Microbiology and Biotechnology","10177825","20","","3","622","629","",3
"Journal of Microbiology and Biotechnology (Print)","10177825","21","","7","728","733","",4
"Journal of Microbiology and Biotechnology (Online)","17388872","22","","6","832","837","",5
"Natural Product Research (Print)","14786419","27","","1","9","16","",6
"Bioorganic & Medicinal Chemistry (Print)","09680896","22","","3","1121","1127","",7
"Natural Products Research","14786427","3","","","1","8","",8
"Langmuir","07437463","press","","","140429195113006","","",9
"Helvetica Chimica Acta","0018019X","97","","10","1345","1353","",10
"Electrochimica Acta","00134686","154","","","278","286","",11
"Journal of Analytical & Bioanalytical Techniques","21559872","S6","","","1","9","",12
"JOURNAL OF MASS SPECTROMETRY","10765174","52","","4","239","247","",13
"JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY","01035053","27","","8","1444","1451","",14
"Molecular Diversity","1573501X","20","","4","877","885","",15
"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","14337851","52","","49","13096","13099","",16
"MOLECULES","14203049","22","","6","858","","",17
"Acta Crystallographica. Section E","16005368","65","","","o612","o612","",18
