NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"Exame de qualificação de doutorado","Produção de haloalcalóides por fungos de ambientes terrestres","2015","Brasil","Português","","","",0
"Exame de qualificação de doutorado","Estudo do potencial de aplicação biotecnológica de Mucor sp. isolado de Syzygium cumini Skeels","2015","Brasil","Português","","","",1
"Exame de qualificação de doutorado","Triagem de monoamina oxidase e transaminase em fungos isolados da pele human","2016","Brasil","Português","","","",2
"Exame de qualificação de doutorado","Caracterização de celulase recombinante de Xanthomonas axonopodis pv. citri e sua aplicação a hidrólise enzimática do bagaço de laranja","2016","Brasil","Português","","","",3
"Exame de qualificação de doutorado","Análise estrutural e funcional de metaloproteinases (SMVP) e Serino proteases (SVSP) de veneno de serpente","2015","Brasil","Português","","","",4
