NATUREZA,TITULO-DO-TRABALHO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-DO-TRABALHO-INGLES,ORIENTACAO-EM-ANDAMENTO-DE-INICIACAO-CIENTIFICA_Id
"Iniciação Científica","Exploração do potencial de produção de metabólitos secundários através de abordagens de cultivo misto de fungos patógenos de citrus","2015","Brasil","Português","","","",0
"Iniciação Científica","Estudo das enzimas Coumarate 4-hydroxylase (C4H) e Aromatic-ring hydroxylase-like envolvidas na biossíntese de brasiliamidas produzidas pelo fungo Penicillium brasilianum","2015","Brasil","Português","","","",1
"Iniciação Científica","Estudo do metabolismo secundário de fungos fitopatogênicos de citros","2016","Brasil","Português","","","",2
"Iniciação Científica","Estudos de biodegradação de materiais poliméricos utilizando microorganismos","2016","Brasil","Português","","","",3
