SEQUENCIA-LINHA,TITULO-DA-LINHA-DE-PESQUISA,FLAG-LINHA-DE-PESQUISA-ATIVA,OBJETIVOS-LINHA-DE-PESQUISA,TITULO-DA-LINHA-DE-PESQUISA-INGLES,OBJETIVOS-LINHA-DE-PESQUISA-INGLES,PESQUISA-E-DESENVOLVIMENTO_Id
"1","Estudos biossintéticos de produtos naturais microbianos","NAO","","","",0
"2","Descoberta de produtos naturais fúngicos","NAO","","","",0
"3","Estudos das interações químicas envolvidas em sistemas biológicos (Fitopatógenos - Hospedeiro)","NAO","","","",0
"4","Biodegradação de materiais poliméricos","NAO","","","",0
