NOME,ENTIDADE_PROMOTORA,ANO_DA_PREMIACAO
Professora homenageada pela Turma de Formandos do Curso de Ciências Econômicas - 2002 noturno,Instituto de Economia - UNICAMP,2002
Mérito Científico pela orientação da aluna Camila Santos Matos de F. Ribeiro,UNICAMP/PIBIC/CNPq,2007
Professora homenageada pela Turma de Formandos do Curso de Ciências Econômicas - 2007,Instiuto de Economia - UNICAMP,2007
Prêmio de Reconhecimento Docente pela Dedicação ao Ensino de Graduação,Universidade Estadual de Campinas,2014
