TITULO,ANO-DESENVOLVIMENTO,PAIS,HOME-PAGE,MEIO-DE-DIVULGACAO,FLAG-RELEVANCIA,TITULO-INGLES,FLAG-POTENCIAL-INOVACAO,PATENTE_Id
"SISTEMA DE SÍNTESE DE ANIMAÇÃO FACIAL POR COMPUTADOR BASEADA NA MANIPULAÇÃO DE IMAGENS","2009","Brasil","","NAO_INFORMADO","NAO","","SIM",0
"Método de Síntese de Animação Facial 2D de Fala Expressiva","2015","Brasil","","NAO_INFORMADO","NAO","","NAO",1
