SEQUENCIA-AREA-DE-ATUACAO,NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,AREAS-DE-ATUACAO_Id
"1","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","Processamento Digital de Imagens","",0
"2","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","Metodologia e Técnicas da Computação","Processamento Gráfico (Graphics)",0
"3","ENGENHARIAS","Engenharia Elétrica","Visão Computacional","",0
