INSTITUICAO-PROMOTORA,DURACAO-EM-SEMANAS,FLAG-EVENTO-ITINERANTE,FLAG-CATALOGO,LOCAL,CIDADE,ORGANIZACAO-DE-EVENTO_Id
"Universidade Estadual de Campinas","4","N","S","Faculdade de Engenharia Elétrica e de Computação","Campinas",0
"Universidade Estadual de Campinas","1","N","","Faculdade de Engenharia Elétrica e de Computação","Campinas",1
