NATUREZA,TIPO,TITULO-DO-TRABALHO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-DO-TRABALHO-INGLES,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id
"Dissertação de mestrado","ACADEMICO","Aplicações em Computação Afetiva","2016","Brasil","Português","","","",0
"Dissertação de mestrado","ACADEMICO","Visualização de Dados Interativa em ambiente de Realidade Virtual","2016","Brasil","Português","","","",1
