DETALHAMENTO-DA-PATENTE_Id,FINALIDADE,INSTITUICAO-FINANCIADORA,FINALIDADE-INGLES,CATEGORIA,PATENTE_Id
0,"","","","Produto e Processo",0
1,"","","","Processo",1
