NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,APRESENTACAO-DE-TRABALHO_Id
"CONGRESSO","Assessing the Visual Speech Perception of Sampled-Based Talking Heads","2013","França","Inglês","SIM","","","NAO",0
"CONFERENCIA","Expressive Talking Head for Interactive Conversational Systems","2014","Portugal","Português","NAO","","","NAO",1
"CONFERENCIA","Supervised Methods for Classifying Facial Emotions","2016","Brasil","Português","NAO","","","NAO",2
