TIPO,NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,ORGANIZACAO-DE-EVENTO_Id
"OUTRO","ORGANIZACAO","XIV Ciência e Arte nas Férias - "Da eletrônica à computação: não é mágica, é ciência!"","2016","Brasil","Português","MEIO_DIGITAL","","NAO","","","SIM",0
"OUTRO","ORGANIZACAO","II Ciência & Arte no Inverno - "Da Eletrônica à Computação: Não é Mágica, é Ciência!"","2016","Brasil","Português","MEIO_DIGITAL","","NAO","","","SIM",1
